SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,AQI REMARKS
05/04/2017,BDL,13.0,55.0,43.0,55.0,SATISFACTORY
07/04/2017,BDL,BDL,198.0,45.0,165.0,MODERATELY POLLUTED
10/04/2017,BDL,BDL,115.0,37.0,110.0,MODERATELY POLLUTED
12/04/2017,4.0,BDL,195.0,21.0,163.0,MODERATELY POLLUTED
19/04/2017,BDL,BDL,178.0,22.0,152.0,MODERATELY POLLUTED
21/04/2017,BDL,BDL,57.0,18.0,57.0,SATISFACTORY
26/04/2017,BDL,BDL,212.0,58.0,174.0,MODERATELY POLLUTED
28/04/2017,5.0,18.0,80.0,79.0,80.0,SATISFACTORY
03/05/2017,BDL,10.0,102.0,33.0,102.0,MODERATELY POLLUTED
05/05/2017,BDL,BDL,271.0,17.0,221.0,POOR
10/05/2017,BDL,BDL,101.0,9.0,101.0,SATISFACTORY
12/05/2017,BDL,10.0,180.0,*,153.0,MODERATELY POLLUTED
17/05/2017,BDL,14.0,361.0,*,314.0,VERY POOR
19/05/2017,6.0,16.0,37.0,*,37.0,GOOD
24/05/2017,BDL,BDL,67.0,*,67.0,SATISFACTORY
26/05/2017,BDL,17.0,165.0,65.0,143.0,MODERATELY POLLUTED
02/06/2017,BDL,10.0,73.0,*,73.0,SATISFACTORY
07/06/2017,BDL,10.0,34.0,*,34.0,GOOD
09/06/2017,BDL,BDL,84.0,*,84.0,SATISFACTORY
14/06/2017,7.0,13.0,45.0,*,45.0,GOOD
21/06/2017,5.0,19.0,20.0,*,24.0,GOOD
23/06/2017,5.0,BDL,189.0,*,159.0,MODERATELY POLLUTED
28/06/2017,5.0,12.0,37.0,*,37.0,GOOD
30/06/2017,6.0,BDL,64,*,64.0,SATISFACTORY
05/07/2017,4.0,9.0,150.0,*,133.0,MODERATELY POLLUTED
07/07/2017,8.0,18.0,55.0,*,55.0,SATISFACTORY
12/07/2017,9.0,24.0,34.0,*,34.0,GOOD
14/07/2017,9.0,12.0,56.0,*,56.0,SATISFACTORY
21/07/2017,BDL,BDL,43.0,*,43.0,GOOD
26/07/2017,6.0,12.0,39.0,*,39.0,GOOD
28/07/2017,BDL,BDL,143.0,*,129.0,MODERATELY POLLUTED
02/08/2017,9.0,BDL,148.0,*,132.0,MODERATELY POLLUTED
04/08/2017,4.0,11.0,130.0,*,120.0,MODERATELY POLLUTED
09/08/2017,10.0,10.0,19.0,*,19.0,GOOD
11/08/2017,11.0,10.0,43.0,*,43.0,GOOD
16/08/2017,15.0,12.0,67.0,*,67.0,SATISFACTORY
18/08/2017,13.0,24.0,34.0,*,34.0,GOOD
21/08/2017,14.0,37.0,59.0,*,59.0,SATISFACTORY
30/08/2017,6.0,35,72,*,72.0,SATISFACTORY
01/09/2017,6.0,BDL,38.0,*,38.0,GOOD
06/09/2017,8.0,13.0,202.0,*,168.0,MODERATELY POLLUTED
08/09/2017,4.0,BDL,77.0,*,77.0,SATISFACTORY
15/09/2017,BDL,BDL,31.0,*,31.0,GOOD
20/09/2017,6.0,27.0,28.0,*,34.0,GOOD
22/09/2017,5.0,22.0,74.0,*,74.0,SATISFACTORY
27/09/2017,6.0,18.0,49.0,*,49.0,GOOD
29/09/2017,BDL,18,34,*,34.0,GOOD
04/10/2017,5.0,16.0,220.0,*,180.0,MODERATELY POLLUTED
06/10/2017,4.0,18.0,46.0,*,46.0,GOOD
11/10/2017,BDL,21.0,41.0,*,41.0,GOOD
16/10/2017,BDL,12.0,25.0,*,25.0,GOOD
19/10/2017,BDL,20.0,115.0,81.0,110.0,MODERATELY POLLUTED
25/10/2017,BDL,35.0,33.0,*,33.0,GOOD
27/10/2017,BDL,17.0,68.0,*,68.0,SATISFACTORY
